,Q3,Q4,Q5,Q6,Q7,Q10,Q12,Q14,Q16,Q18,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q33,Q34,Q35,Q36,Q37
276,4,5,2,1,1,1,1,1,1,1,2,1,1,3,3,1,7,3,2,7,1,4,4,4,2
277,7,7,7,1,2,6,1,2,1,2,3,1,1,1,3,1,7,5,1,1,1,4,4,1,1
278,5,6,6,2,3,6,2,2,2,6,6,3,5,1,7,2,6,6,2,7,6,6,5,5,7
279,5,3,4,1,1,4,1,1,1,3,5,1,1,4,5,1,7,5,1,5,4,5,5,1,1
280,2,6,6,2,4,3,5,3,2,5,3,1,4,1,5,1,2,4,2,3,4,4,2,1,1
281,6,7,6,3,5,2,4,1,1,5,7,1,4,3,4,1,7,5,1,1,1,5,1,2,1
282,1,7,4,2,1,2,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
283,1,5,1,1,1,6,1,6,1,5,1,4,2,1,4,1,7,1,1,1,4,5,2,1,1
284,3,7,7,3,2,6,1,2,2,2,6,2,3,3,6,6,6,2,2,2,3,3,2,3,3
285,1,5,1,1,1,5,1,1,1,1,6,1,1,3,5,1,7,6,1,2,1,6,7,1,1
286,3,6,3,1,3,6,2,1,2,1,3,2,2,2,3,1,7,7,3,6,3,5,2,1,1
287,3,5,2,1,3,1,1,1,1,1,2,1,1,1,2,1,7,2,5,7,1,6,7,3,1
288,5,7,6,1,4,5,4,2,1,1,6,6,5,5,6,2,5,7,2,2,4,5,4,4,2
289,2,6,3,1,6,6,2,1,1,1,3,3,4,6,4,2,7,6,7,7,3,6,3,3,2
290,3,2,2,2,2,4,2,1,2,4,5,3,3,2,2,3,1,1,1,2,2,3,1,1,1
291,5,6,6,1,3,5,2,3,4,5,7,5,5,7,5,1,5,5,3,3,4,5,4,3,4
292,2,6,4,1,2,2,1,1,1,5,5,1,3,2,5,1,7,5,4,4,2,4,3,1,1
293,5,6,5,1,7,6,4,2,2,6,5,2,2,2,5,2,5,6,1,2,6,2,3,6,6
294,5,6,3,1,5,2,1,1,1,2,2,1,3,3,5,1,6,6,1,7,1,5,4,2,2
295,3,7,2,4,2,5,3,2,1,4,7,2,1,2,4,1,3,5,1,2,2,1,3,2,2
296,5,5,2,1,1,5,2,1,2,5,2,2,2,2,2,1,7,5,6,7,2,2,2,2,2
297,2,6,1,1,1,7,1,4,1,5,3,1,1,1,1,1,7,4,1,2,3,3,2,2,1
